"id","input_data","full_response","response","feedback","created_at","parent_mlalgorithm_id"
"58","""We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties\u2019 privacy practices, please consult their privacy policies.""","{'paragraph': 'We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties’ privacy practices, please consult their privacy policies.', 'summary': 'We receive information about you when you or your administrator integrate or link a third-party', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:06:04.481864","1"
"59","""You don\u2019t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.""","{'paragraph': 'You don’t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:32:56.080515","1"
"60","""In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.""","{'paragraph': 'In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:33:00.317661","1"
"61","""The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.""","{'paragraph': 'The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:33:04.304927","1"
"62","""From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.""","{'paragraph': 'From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:33:08.205173","1"
"63","""When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.""","{'paragraph': 'When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:33:12.323289","1"
"64","""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them.""","{'paragraph': ""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them."", 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:33:16.060490","1"
"65","""You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.""","{'paragraph': 'You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:33:19.968221","1"
"66","""We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties\u2019 privacy practices, please consult their privacy policies.""","{'paragraph': 'We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties’ privacy practices, please consult their privacy policies.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-05 21:33:24.051074","1"
"67","""You don\u2019t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.""","{'paragraph': 'You don’t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.', 'summary': ""You don't have to create an account to use some of our service features. If"", 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:34:58.580821","1"
"68","""In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.""","{'paragraph': 'In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.', 'summary': 'You must provide us with payment information, including your credit or debit card number, card', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:00.409534","1"
"69","""The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.""","{'paragraph': 'The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.', 'summary': 'The Services also include our customer support, where you may choose to submit information regarding a', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:02.274802","1"
"70","""From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.""","{'paragraph': 'From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.', 'summary': 'We may ask our registered users or visitors to participate in surveys. These surveys are optional', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:04.548368","1"
"71","""When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.""","{'paragraph': 'When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.', 'summary': 'We may receive information about you, or combine such information with other personal information. This', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:06.559990","1"
"72","""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them.""","{'paragraph': ""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them."", 'summary': 'We may provide links to online services that we do not own or operate. These services', 'label': 'policy', 'status': 'OK'}","policy","","2022-09-07 10:35:08.478309","1"
"73","""You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.""","{'paragraph': 'You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.', 'summary': 'You may use content and/or functionality from third-party services in your presentations,', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:11.931409","1"
"74","""We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties\u2019 privacy practices, please consult their privacy policies.""","{'paragraph': 'We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties’ privacy practices, please consult their privacy policies.', 'summary': 'We receive information about you when you or your administrator integrate or link a third-party', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:14.681099","1"
"75","""Marketing we use the information we collect including account contact service usage and survey information to send you information or materials via email about products offers and news we think might interest you in specific cases where we have your consent and you have provided us additional contact information we may contact you through other channels including telephone these communications are aimed at driving engagement and maximizing what you get out of the services including information about new features survey requests newsletters and events we think may be of interest to you  we also communicate with you about new product offers promotions and contests of prezi inc or its licensees or selected commercial partners you can control whether you receive these communications as described below under your choices  obligations section""","{'paragraph': 'Marketing we use the information we collect including account contact service usage and survey information to send you information or materials via email about products offers and news we think might interest you in specific cases where we have your consent and you have provided us additional contact information we may contact you through other channels including telephone these communications are aimed at driving engagement and maximizing what you get out of the services including information about new features survey requests newsletters and events we think may be of interest to you  we also communicate with you about new product offers promotions and contests of prezi inc or its licensees or selected commercial partners you can control whether you receive these communications as described below under your choices  obligations section', 'summary': 'We use the information we collect including account contact service usage and survey information to send you', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:18.627954","1"
"76","""prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,offering other services""","{'paragraph': 'prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,offering other services', 'summary': 'We share information we have about you with other prezi inc affiliates including infogram in', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:21.809625","1"
"77","""business transfers we may share or transfer information we collect under this privacy policy in connection with any merger sale of company assets financing or acquisition of all or a portion of our business to another company you will be notified via email and or a prominent notice on the services if a transaction takes place as well as any choices you may have regarding your information this is the process.""","{'paragraph': 'business transfers we may share or transfer information we collect under this privacy policy in connection with any merger sale of company assets financing or acquisition of all or a portion of our business to another company you will be notified via email and or a prominent notice on the services if a transaction takes place as well as any choices you may have regarding your information this is the process.', 'summary': 'We may share or transfer information we collect under this privacy policy in connection with any merger', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:24.486865","1"
"78","""process of account closure you may cancel your account and you may opt out of receiving marketing emails from us at any time in order to cancel your account opt out of or modify your personal information you must do so by logging in and visiting your settings  account page and following the instructions provided or go to our help support page we encourage you promptly to update your personal information when it changes information concerning your past behavior with the services may be retained by us as long as necessary for the purposes set out above""","{'paragraph': 'process of account closure you may cancel your account and you may opt out of receiving marketing emails from us at any time in order to cancel your account opt out of or modify your personal information you must do so by logging in and visiting your settings  account page and following the instructions provided or go to our help support page we encourage you promptly to update your personal information when it changes information concerning your past behavior with the services may be retained by us as long as necessary for the purposes set out above', 'summary': 'You may cancel your account and you may opt out of receiving marketing emails from us at', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:35:28.530178","1"
"79","""You don\u2019t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.""","{'paragraph': 'You don’t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:37:19.323906","1"
"80","""In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.""","{'paragraph': 'In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:37:24.100943","1"
"81","""The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.""","{'paragraph': 'The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:37:28.646963","1"
"82","""From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.""","{'paragraph': 'From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:37:33.688959","1"
"83","""When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.""","{'paragraph': 'When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:37:39.667943","1"
"84","""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them.""","{'paragraph': ""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them."", 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:37:44.596945","1"
"85","""You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.""","{'paragraph': 'You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:37:51.665943","1"
"86","""We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties\u2019 privacy practices, please consult their privacy policies.""","{'paragraph': 'We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties’ privacy practices, please consult their privacy policies.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:37:58.820945","1"
"87","""Marketing we use the information we collect including account contact service usage and survey information to send you information or materials via email about products offers and news we think might interest you in specific cases where we have your consent and you have provided us additional contact information we may contact you through other channels including telephone these communications are aimed at driving engagement and maximizing what you get out of the services including information about new features survey requests newsletters and events we think may be of interest to you  we also communicate with you about new product offers promotions and contests of prezi inc or its licensees or selected commercial partners you can control whether you receive these communications as described below under your choices  obligations section""","{'paragraph': 'Marketing we use the information we collect including account contact service usage and survey information to send you information or materials via email about products offers and news we think might interest you in specific cases where we have your consent and you have provided us additional contact information we may contact you through other channels including telephone these communications are aimed at driving engagement and maximizing what you get out of the services including information about new features survey requests newsletters and events we think may be of interest to you  we also communicate with you about new product offers promotions and contests of prezi inc or its licensees or selected commercial partners you can control whether you receive these communications as described below under your choices  obligations section', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:38:03.772941","1"
"88","""prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,offering other services""","{'paragraph': 'prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,offering other services', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:38:09.020941","1"
"89","""business transfers we may share or transfer information we collect under this privacy policy in connection with any merger sale of company assets financing or acquisition of all or a portion of our business to another company you will be notified via email and or a prominent notice on the services if a transaction takes place as well as any choices you may have regarding your information this is the process.""","{'paragraph': 'business transfers we may share or transfer information we collect under this privacy policy in connection with any merger sale of company assets financing or acquisition of all or a portion of our business to another company you will be notified via email and or a prominent notice on the services if a transaction takes place as well as any choices you may have regarding your information this is the process.', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:38:14.500943","1"
"90","""process of account closure you may cancel your account and you may opt out of receiving marketing emails from us at any time in order to cancel your account opt out of or modify your personal information you must do so by logging in and visiting your settings  account page and following the instructions provided or go to our help support page we encourage you promptly to update your personal information when it changes information concerning your past behavior with the services may be retained by us as long as necessary for the purposes set out above""","{'paragraph': 'process of account closure you may cancel your account and you may opt out of receiving marketing emails from us at any time in order to cancel your account opt out of or modify your personal information you must do so by logging in and visiting your settings  account page and following the instructions provided or go to our help support page we encourage you promptly to update your personal information when it changes information concerning your past behavior with the services may be retained by us as long as necessary for the purposes set out above', 'summary': 'sharing information with other providers ', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 10:38:20.072942","1"
"91","""You don\u2019t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.""","{'paragraph': 'You don’t have to create an account to use some of our service features, such as searching and viewing public presentations. If you do choose to create an account and become a member, you must provide us with some personal information so that we can provide our services to you including your name, email address and/or phone number, occupation, title, and a password. If you choose to authenticate using a third-party account (e.g., Google), you authorize us to obtain account information from the third-party platform.', 'summary': ""You don't have to create an account to use some of our service features. If"", 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:39.153049","1"
"92","""In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.""","{'paragraph': 'In order to gain access to specific premium features within our Services, you must provide us with payment information, including your credit or debit card number, card expiration date, CVV code, and billing address.', 'summary': 'You must provide us with payment information, including your credit or debit card number, card', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:39.808105","1"
"93","""The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.""","{'paragraph': 'The Services also include our customer support, where you may choose to submit information regarding a problem you are experiencing.  For example, if you designate yourself as a technical contact, open a support ticket, speak to one of our representatives directly or otherwise engage with our support team, you will be asked to provide contact information, a summary of the problem you are experiencing, and any other documentation, screenshots or information that would be helpful in resolving the issue.', 'summary': 'The Services also include our customer support, where you may choose to submit information regarding a', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:40.452697","1"
"94","""From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.""","{'paragraph': 'From time to time, we may ask our registered users or visitors to participate in surveys. These surveys are optional. If you choose to participate, any information you provide to us, including personal information, will be linked with your account in our system. If you would not like your information to be used in this way, you have the option to not participate in surveys or, if you do participate, to provide us only with information you consent to our use of in accordance with this Privacy Policy.', 'summary': 'We may ask our registered users or visitors to participate in surveys. These surveys are optional', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:41.095151","1"
"95","""When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.""","{'paragraph': 'When you visit our websites, sign in into our Services, interact with our email notifications, or visit a third-party service that includes content from our Services, we may receive information about you, or combine such information with other personal information. This service usage information includes data such as your IP address, browser type, operating system, the referring web page, pages visited within our Services, location, your mobile carrier, device information (including device and application IDs), search terms, and cookie information.', 'summary': 'We may receive information about you, or combine such information with other personal information. This', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:41.754748","1"
"96","""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them.""","{'paragraph': ""We may provide links to online services that we do not own or operate. These services fall outside of this Privacy Policy and we have no control over the data they collect. For example, if you click on an advertisement, you may be taken to the advertiser's website. Once on a third-party site, your data may be collected by others. We encourage you to read the privacy policies of such services before using them."", 'summary': 'We may provide links to online services that we do not own or operate. These services', 'label': 'policy', 'status': 'OK'}","policy","","2022-09-07 12:05:42.423252","1"
"97","""You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.""","{'paragraph': 'You may use content and/or functionality from third-party services in your presentations, videos and User Content. This Privacy Policy covers our websites and apps, but does not cover any third-party site, content, or app.', 'summary': 'You may use content and/or functionality from third-party services in your presentations,', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:43.053076","1"
"98","""We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties\u2019 privacy practices, please consult their privacy policies.""","{'paragraph': 'We receive information about you when you or your administrator integrate or link a third-party service with our Services, including information from the third party who provides the linked service. For example, if you create an account or log into the Services using your Google credentials, we receive your name and email address as permitted by your Google profile settings in order to authenticate you. We also provide options within the Services that enable you to link to services such as Slack and Salesforce, so you can receive real-time notifications and integrate content within those platforms. Our Prezi video feature allows you to upload videos and stream through other platforms. To learn more about these third parties’ privacy practices, please consult their privacy policies.', 'summary': 'We receive information about you when you or your administrator integrate or link a third-party', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:43.756986","1"
"99","""Marketing we use the information we collect including account contact service usage and survey information to send you information or materials via email about products offers and news we think might interest you in specific cases where we have your consent and you have provided us additional contact information we may contact you through other channels including telephone these communications are aimed at driving engagement and maximizing what you get out of the services including information about new features survey requests newsletters and events we think may be of interest to you  we also communicate with you about new product offers promotions and contests of prezi inc or its licensees or selected commercial partners you can control whether you receive these communications as described below under your choices  obligations section""","{'paragraph': 'Marketing we use the information we collect including account contact service usage and survey information to send you information or materials via email about products offers and news we think might interest you in specific cases where we have your consent and you have provided us additional contact information we may contact you through other channels including telephone these communications are aimed at driving engagement and maximizing what you get out of the services including information about new features survey requests newsletters and events we think may be of interest to you  we also communicate with you about new product offers promotions and contests of prezi inc or its licensees or selected commercial partners you can control whether you receive these communications as described below under your choices  obligations section', 'summary': 'We use the information we collect including account contact service usage and survey information to send you', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:44.564040","1"
"100","""prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,offering other services""","{'paragraph': 'prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,offering other services', 'summary': 'We share information we have about you with other prezi inc affiliates including infogram in', 'label': 'data', 'status': 'OK'}","data","","2022-09-07 12:05:45.226737","1"
